19870	105	7	29.49
560	123	32	59.02
4771	8132	3	39.68
104	10400	5	7.32
17824	14	6	12.95
101	9873	9	10.52
24451	124	4	27.24
316	38827	4	51.54
105	9145	5	7.11
1423	455	3	12.24
135	9843	13	97.41
18463	114	14	117.66
908	154	7	10.95
1517	2224	5	42.23
13605	103	5	10.48
632	12024	4	41.82
128	11149	9	58.39
177	5983	5	27.4
101	12242	12	26.49
610	1022	16	116.11
19701	12	4	6.49
7899	224	3	18.88
172	899	12	36.05
54706	170	3	33.32
148	855	6	6.13
111	18290	5	26.1
145	1291	15	48.29
105	12603	3	3.93
111	20260	3	13.32
744	12	86	27.49
3296	281	4	21.26
2783	104	53	143.91
741	743	102	1102.09
236	283	132	864.76
17736	40371	5	118.02
9790	101	17	39.22
500	1342	11	73.37
111	4552	4	4.92
108	5668	6	11.35
104	28452	3	9.45
194	4500	3	12.81
3982	109	7	10
14606	104	6	15.76
12554	12	7	10.35
37634	101	4	13.5
436	1036	4	15.75
44236	12	5	26.04
194	2920	10	56.15
111	2940	21	67.21
12631	106	4	7.97
4309	2139	3	29.13
137	2215	11	37.12
316	1580	7	36.58
3803	101	25	20.79
167	140	202	618.17
139	2037	8	21.94
140	1410	11	29.21
3285	3577	6	69.74
2871	2631	3	27.66
106	1452	32	34.06
16493	3992	4	61.76
9265	30419	3	56.85
101	31260	4	11.33
3060	166	5	18.52
2070	209	3	8.76
167	5516	7	40.6
318	6832	7	60.99
109	4850	6	9.53
105	27103	6	29.36
472	445	8	30.23
563	433	8	32.29
341	559	3	5.56
136	7430	6	30.23
1874	991	3	18.5
125	8584	3	9.65
102	42594	5	27.79
797	358	4	12.23
226	874	3	4.81
2263	104	26	27.22
101	45634	3	10.12
29645	119	4	28.44
319	524	7	21.46
228	12	278	44.67
22704	1039	5	70.52
2717	141	8	27.47
2137	1514	4	31.65
4891	114	32	188.45
260	3287	5	27.66
111	1122	13	8.91
112	1749	7	4.04
200	353	20	58.01
6933	118	5	16.12
5640	101	36	84.62
878	230	8	26.95
674	7320	3	25.84
7686	103	5	4.09
1418	153	99	735.8
117	6725	6	20.66
119	6957	3	6.92
2535	1830	10	105.6
103	12180	6	12.79
101	10693	6	4.3
106	22080	3	8.91
117	1019	54	190.08
204	350	9	14.49
119	265	37	20.58
2540	4667	9	113
53263	103	3	15.86
104	16007	6	17.43
102	15777	15	70.2
50196	14	5	31.56
743	1995	3	17.06
143	2286	8	25.19
232	105	273	285.26
330	529	6	17.4
462	6055	3	22.29
2879	324	5	29.69
171	3816	4	15.41
12	12805	5	4.89
2025	6444	20	293.01
116	1222	122	677.98
2757	133	3	4.27
8	17167	4	27.04
115	1610	11	15.78
3167	296	5	29.52
2657	114	7	10.83
330	2902	5	30.01
102	15976	3	4.12
12	15186	4	4.04
5283	102	45	168.08
773	684	3	10.8
113	3961	26	121.77
221	15366	3	24.36
14199	103	4	7.21
877	463	7	33.59
105	10032	5	8.15
1615	52306	3	50.22
33888	12	3	7.89
12730	4822	3	43.71
47128	177	5	61.87
434	197	5	4.36
125	28294	6	50.4
101	10830	8	9.38
103	11390	5	8.19
4183	551	4	29.48
47756	102	4	21.31
292	519	3	4.13
106	2408	15	11.61
3324	109	9	13.43
1339	175	17	75.64
5271	101	64	223.99
4244	14	16	9.5
38255	14	4	14.51
229	839	4	8.18
824	367	4	12.89
138	3988	3	6.71
101	47347	3	10.12
1179	999	4	23.17
112	1615	12	14.24
43625	389	3	39.94
107	430	34	11.96
602	113	23	19.58
101	43879	3	10.12
41595	11430	6	137.6
19332	103	8	32.7
471	222	43	228.06
4976	117	5	11.93
5584	109	6	11.31
4563	107	7	11.56
1456	1405	3	19.06
2482	14	26	11.21
14122	108	3	8.66
101	41765	3	8.98
1462	103	32	21.84
4591	975	11	119.49
19931	2899	7	116.15
12417	170	4	27.69
154	4248	58	531.68
75417	12	3	18.81
1026	185	12	42.77
2402	4100	4	41.65
1088	103	45	32.36
2114	105	13	3.97
9470	565	7	75.39
1092	1669	3	18.34
105	39309	4	21.91
1061	2943	7	63.15
61460	104	3	18.07
57	8428	3	6.69
106	9296	24	116.58
111	9220	6	21.49
246	21319	3	28.25
1601	6226	19	264.6
127	3214	4	6.94
426	5632	4	30.61
3401	510	9	75.26
152	3971	3	8.11
333	2878	5	29.94
1192	452	10	60.63
179	697	10	22.37
5930	14	10	5.35
3000	1743	3	25.17
5141	447	4	30.02
18957	12	11	40.8
102	6973	21	59.9
3990	1044	5	45.11
103	7113	7	8.1
415	730	4	12.6
107	24715	3	13.1
15123	119	4	19.77
4151	878	4	33.24
142	12035	3	15.85
1500	1577	4	28.89
2010	148	8	23.69
9427	14	12	20.99
101	1902	188	602.72
5902	104	8	8.09
7440	412	4	33.34
19653	276	4	40.83
102	249	1555	6254.67
4877	102	21	41
33125	457	3	37.74
